Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | process    | url:'http://localhost:9393/service.py' id:'1642525799622540450' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' origin:'http://localhost:9393' pid:'9035' | Process STDOUT closed
Tue, 18 Jan 2022 18:13:49 +0100 | DEBUG  | process    | url:'http://localhost:9393/service.py' id:'1642525799622540450' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' origin:'http://localhost:9393' pid:'9035' | Process 9035 terminated after SIGINT
Tue, 18 Jan 2022 18:13:49 +0100 | ACCESS | session    | url:'http://localhost:9393/service.py' id:'1642525799622540450' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' origin:'http://localhost:9393' pid:'9035' | DISCONNECT
Tue, 18 Jan 2022 18:23:05 +0100 | ACCESS | http       | url:'http://localhost:9393/' | STATIC
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | websocket  | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' origin:'http://localhost:9393' pid:'9178' | Cannot receive: websocket: close 1001 (going away)
Tue, 18 Jan 2022 18:23:05 +0100 | TRACE  | websocket  | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' origin:'http://localhost:9393' pid:'9178' | Terminated websocket connection
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | process    | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' origin:'http://localhost:9393' pid:'9178' | Process STDOUT closed
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | process    | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' origin:'http://localhost:9393' pid:'9178' | Process 9178 terminated after SIGINT
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | process    | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' origin:'http://localhost:9393' pid:'9178' | Process STDERR closed
Tue, 18 Jan 2022 18:23:05 +0100 | ACCESS | session    | url:'http://localhost:9393/service.py' id:'1642526029339033908' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' origin:'http://localhost:9393' pid:'9178' | DISCONNECT
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526585335660346' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: SERVER_SOFTWARE=websocketd/0.3.0 (go1.9.2 linux-amd64) --
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526585335660346' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Parent envvar: PATH=/home/finkin/.local/bin:/home/finkin/.local/bin:/home/finkin/.local/bin:/home/finkin/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/opt/apache-tomcat-9.0.46/bin:/opt/apache-tomcat-9.0.46/bin
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526585335660346' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: REMOTE_ADDR=::1
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526585335660346' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: REMOTE_HOST=::1
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526585335660346' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: SERVER_NAME=localhost
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526585335660346' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: SERVER_PORT=9393
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526585335660346' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: SERVER_PROTOCOL=HTTP/1.1
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526585335660346' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: GATEWAY_INTERFACE=websocketd-CGI/0.1
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526585335660346' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: REQUEST_METHOD=GET
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526585335660346' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: SCRIPT_NAME=/service.py
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526585335660346' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: PATH_INFO=
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526585335660346' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: PATH_TRANSLATED=/service.py
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526585335660346' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: QUERY_STRING=
Tue, 18 Jan 2022 18:23:05 +0100 | DEBUG  | env        | url:'http://localhost:9393/service.py' id:'1642526585335660346' remote:'::1' command:'/home/finkin/Projects/htw/tms/srv/service.py' | Std. variable: AUTH_TYPE=
